Pokédex number;IMAGE;Name;Type 1;Type 2;HP;Atk;Def;SpA;SpD;Spe;Total Stats;Ability 1;New Ability Description;Ability 2;Physical Description;Weaknesses;Strengths;Evolution;Evolution Level;Evolution Condition;Overall Rating;Image link;Prompt;Variant ID
49;#VALUE!;Dreamcobra;Psychic;Poison;90;80;100;120;110;80;580;Synchronize;When a Pokémon with this ability is inflicted with a status condition (burn, poison, or paralysis), the opponent Pokémon will also receive the same status condition, provided it doesn't have immunity to that status condition.;Shed Skin;Larger serpent with even more hypnotic patterns and a menacing gaze;Ground, Psychic, Ghost;Psychic, Poison, Grass, Fighting;Final Stage;;;316;;"/imagine prompt:Dreamcobra Regular Pokemon; Psychic/Poison; Larger serpent with even more hypnotic patterns and a menacing gaze; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
108;#VALUE!; Glacihorn;Ice;Rock;90;110;120;90;110;65;585; Snow Warning;; Refrigerate; Large prehistoric creature resembling a woolly rhinoceros with massive crystalline spikes and armor; Fire, Steel, Water, Grass, Fighting, Ground, Rock; Ice, Rock, Flying, Bug;Final Stage;;;314;;"/imagine prompt: Glacihorn Regular Pokemon; Ice/Rock;  Large prehistoric creature resembling a woolly rhinoceros with massive crystalline spikes and armor; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
126;#VALUE!;Electrak;Electric;Poison;80;110;70;120;70;110;560;Venom Shock;Paralyzes the opponent when landing a critical hit with a Poison-type move;;"Electrak is a medium-sized, serpent-like Pokémon with a sleek, elongated body. It has vibrant, neon-green scales that emit a pulsating electric current, which becomes more intense when it is ready to strike. Its fangs are filled with a potent, poisonous venom that can paralyze its prey. A series of spiky, purple venom sacs run down its spine, glowing with electrical energy.
";;;Single stage;;;313;;"/imagine prompt:Electrak Regular Pokemon; Electric/Poison; Electrak is a medium-sized, serpent-like Pokémon with a sleek, elongated body. It has vibrant, neon-green scales that emit a pulsating electric current, which becomes more intense when it is ready to strike. Its fangs are filled with a potent, poisonous venom that can paralyze its prey. A series of spiky, purple venom sacs run down its spine, glowing with electrical energy.
; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
129;#VALUE!;Gemblaze;Fire;Rock;110;115;80;50;80;135;570;Lava Surge;When using a Fire-type move, has a 30% chance to raise either the user's Attack or Speed by one stage;;Gemblaze is a medium-sized, golem-like Pokémon with a body made of volcanic rock and molten lava. Its arms and legs are encrusted with a variety of colorful, glowing gems that resemble precious stones. The gems emit a fiery glow, and when Gemblaze enters battle, they burn with a brilliant, dazzling light.;;;Single stage;;;310;;"/imagine prompt:Gemblaze Regular Pokemon; Fire/Rock; Gemblaze is a medium-sized, golem-like Pokémon with a body made of volcanic rock and molten lava. Its arms and legs are encrusted with a variety of colorful, glowing gems that resemble precious stones. The gems emit a fiery glow, and when Gemblaze enters battle, they burn with a brilliant, dazzling light.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
93;#VALUE!;Cinderaptor;Fire;Dragon;90;115;80;95;80;100;560;Blaze;;Reckless;Raptor-like Pokémon with a fiery body and sharp claws;Water, Ground, Dragon, Rock, Fairy;Fire, Dragon, Bug, Steel, Grass;Final Stage;;;309;;"/imagine prompt:Cinderaptor Regular Pokemon; Fire/Dragon; Raptor-like Pokémon with a fiery body and sharp claws; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
20;#VALUE!;Tsunarmor;Water;Steel;95;85;120;90;115;60;565;Torrent;;Swift Swim;Armored turtle, steel shell, water cannons;Electric, Grass, Fighting;Water, Fire, Ice, Psychic, Steel;Final Stage;;;307;;"/imagine prompt:Tsunarmor Regular Pokemon; Water/Steel; Armored turtle, steel shell, water cannons; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
23;#VALUE!;Floracanine;Grass;Fairy;90;90;90;115;90;90;565;Overgrow;;Natural Cure;Majestic canine, floral mane, fairy-like wings;Fire, Ice, Poison, Flying, Steel;Grass, Water, Ground, Dark;Final Stage;;;305;;"/imagine prompt:Floracanine Regular Pokemon; Grass/Fairy; Majestic canine, floral mane, fairy-like wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
106;#VALUE!; Toxifly;Bug;Poison;80;90;80;110;80;120;560; Compound Eyes;; Toxic Boost; Large insect-like creature with toxic wings and a more potent stinger; Fire, Flying, Rock, Psychic; Bug, Grass, Fairy, Fighting;Final Stage;;;304;;"/imagine prompt: Toxifly Regular Pokemon; Bug/Poison;  Large insect-like creature with toxic wings and a more potent stinger; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
124;#VALUE!;Pyrolisk;Fire;Psychic;95;70;70;120;90;105;550;Mindfire;When hit by a Psychic-type move, boosts the power of Fire-type moves by 50%;;Pyrolisk is a medium-sized, phoenix-like Pokémon with a slender, elegant body. Its feathers are a vibrant blend of red, orange, and yellow, giving the appearance of flickering flames. Its long, flowing tail is adorned with wispy, ethereal feathers that emit a soft, psychic glow. Its piercing, purple eyes are said to have hypnotic abilities.;;;Single stage;;;301;;"/imagine prompt:Pyrolisk Regular Pokemon; Fire/Psychic; Pyrolisk is a medium-sized, phoenix-like Pokémon with a slender, elegant body. Its feathers are a vibrant blend of red, orange, and yellow, giving the appearance of flickering flames. Its long, flowing tail is adorned with wispy, ethereal feathers that emit a soft, psychic glow. Its piercing, purple eyes are said to have hypnotic abilities.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
125;#VALUE!;Glaciowl;Ice;Flying;100;80;100;110;95;75;560;Snow Cloak;;;Glaciowl is a large, majestic owl Pokémon with a thick, icy plumage that resembles crystalline structures. Its wings are adorned with intricate, frosty patterns that emit a soft, cold aura. Its piercing blue eyes have a wise and calm demeanor, while its sharp talons are perfect for navigating the frigid environments it inhabits.;;;Single stage;;;301;;"/imagine prompt:Glaciowl Regular Pokemon; Ice/Flying; Glaciowl is a large, majestic owl Pokémon with a thick, icy plumage that resembles crystalline structures. Its wings are adorned with intricate, frosty patterns that emit a soft, cold aura. Its piercing blue eyes have a wise and calm demeanor, while its sharp talons are perfect for navigating the frigid environments it inhabits.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
118;#VALUE!;Crysteon-Surge;Rock;Electric;95;100;70;100;75;110;550;Static Surge;When hit by a Special Attack, has a 30% chance to paralyze the attacker;;Crysteon Surge maintains the overall appearance of Crysteon, but its crystal formations have become larger, more jagged, and more energetic. The crystals now emit bright, pulsating electric energy in shades of yellow and blue. Its eyes also have a more intense glow, and its body appears more streamlined for faster movement.;;;Variant;;;300;;"/imagine prompt:Crysteon-Surge Regular Pokemon; Rock/Electric; Crysteon Surge maintains the overall appearance of Crysteon, but its crystal formations have become larger, more jagged, and more energetic. The crystals now emit bright, pulsating electric energy in shades of yellow and blue. Its eyes also have a more intense glow, and its body appears more streamlined for faster movement.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
121;#VALUE!;Flygon-Alteon;Bug;Dragon;80;90;100;80;100;100;550;Sand Mirage;Raises evasion by 1 stage in a sandstorm;;Flygon-Alteon has a more insect-like appearance, with chitinous, green and orange armor covering its body. Its wings have become transparent, similar to those of a dragonfly, with vibrant, iridescent patterns. Its eyes are large and compound, giving it an alien-like appearance, and it has additional antennae for improved sensory abilities.;;;Variant;;;294;;"/imagine prompt:Flygon-Alteon Regular Pokemon; Bug/Dragon; Flygon-Alteon has a more insect-like appearance, with chitinous, green and orange armor covering its body. Its wings have become transparent, similar to those of a dragonfly, with vibrant, iridescent patterns. Its eyes are large and compound, giving it an alien-like appearance, and it has additional antennae for improved sensory abilities.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
56;#VALUE!;Boulderstone;Rock;Water;90;110;130;60;100;60;550;Solid Rock;Reduces damage from super-effective moves;Sturdy;A larger turtle with a boulder-like shell;Grass, Fighting, Ground;Fire, Flying;Final Stage;;;292;;"/imagine prompt:Boulderstone Regular Pokemon; Rock/Water; A larger turtle with a boulder-like shell; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
34;#VALUE!;Magmaarmor;Fire;Ground;90;120;100;75;80;85;550;Blaze;;None;Large, red, armadillo-like, lava-like armor, spikes;Water, Ground, Rock;Fire, Ground;Final Stage;;;291;;"/imagine prompt:Magmaarmor Regular Pokemon; Fire/Ground; Large, red, armadillo-like, lava-like armor, spikes; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
17;#VALUE!;Infernostalker;Fire;Dark;85;110;80;100;75;95;545;Blaze;;Intimidate;Dark panther-like, flame aura, black armor;Water, Ground, Rock, Fight;Fire, Ice, Psychic, Ghost;Final Stage;;;288;;"/imagine prompt:Infernostalker Regular Pokemon; Fire/Dark; Dark panther-like, flame aura, black armor; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
50;#VALUE!;Spectrarmor;Ghost;Steel;80;100;130;60;130;50;550;Stance Change;;Filter;Armored ghostly knight with a shield and spectral sword;Fire, Ghost, Dark, Ground;Ghost, Steel, Normal, Flying, Psychic, Rock, Ice, Dragon, Fairy;Final Stage;;;287;;"/imagine prompt:Spectrarmor Regular Pokemon; Ghost/Steel; Armored ghostly knight with a shield and spectral sword; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
40;#VALUE!;Venomburst;Fire;Poison;80;105;75;90;75;110;535;Blaze;;Corrosion;Large, red and purple salamander with flaming body and poisonous barbs;Water, Ground, Rock, Psychic;Fire, Poison, Bug, Grass;Final Stage;;;283;;"/imagine prompt:Venomburst Regular Pokemon; Fire/Poison; Large, red and purple salamander with flaming body and poisonous barbs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
14;#VALUE!;Terravolt;Electric;Rock;90;100;110;90;80;75;545;Sand Stream;;Sand Force;Armored, electric-yellow lizard, rocky spikes;Water, Grass, Ice, Ground;Electric, Rock, Flying, Bug;Single stage;;;282;;"/imagine prompt:Terravolt Regular Pokemon; Electric/Rock; Armored, electric-yellow lizard, rocky spikes; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
72;#VALUE!;Dracoflare;Dragon;Fire;90;100;80;120;80;80;550;Blaze;Powers up Fire-type moves when HP is low;Intimidate;A dragon-like Pokémon with blazing red scales and flames billowing from its mouth and tail.;Dragon, Ground, Rock;Fire, Grass, Electric, Bug, Steel;Single stage;;;282;;"/imagine prompt:Dracoflare Regular Pokemon; Dragon/Fire; A dragon-like Pokémon with blazing red scales and flames billowing from its mouth and tail.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
128;#VALUE!;Chimechoir;Fairy;Steel;60;65;130;120;130;65;570;Harmonize;When using a sound-based move, has a 30% chance to heal itself or an ally by 50% of the move's damage;;Chimechoir is a small, bell-like Pokémon that resembles an intricately designed wind chime. It has a metallic, steel body with a series of small, melodic chimes hanging from it. The chimes are adorned with shimmering, fairy-like wings that emit a soft, magical glow. Chimechoir's chimes produce a harmonious sound that is said to have mesmerizing effects.;;;Single stage;;;280;;"/imagine prompt:Chimechoir Regular Pokemon; Fairy/Steel; Chimechoir is a small, bell-like Pokémon that resembles an intricately designed wind chime. It has a metallic, steel body with a series of small, melodic chimes hanging from it. The chimes are adorned with shimmering, fairy-like wings that emit a soft, magical glow. Chimechoir's chimes produce a harmonious sound that is said to have mesmerizing effects.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
6;#VALUE!;Thornimbus;Grass;Electric;85;100;80;110;90;80;545;Overcharge;;Static;Floating cloud-like creature, grass vines, sparks;Fire, Ice, Poison, Bug;Grass, Electric, Water, Flying;Single stage;;;278;;"/imagine prompt:Thornimbus Regular Pokemon; Grass/Electric; Floating cloud-like creature, grass vines, sparks; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
91;#VALUE!;Dracoshell;Dragon;Steel;85;105;100;75;80;90;535;Shed Skin;;Strong Jaw;Armor-clad dragon raccoon with metallic scales and larger fangs;Ice, Dragon, Fighting, Ground;Dragon, Fire, Water, Electric, Psychic, Fairy, Steel;Final Stage;;;278;;"/imagine prompt:Dracoshell Regular Pokemon; Dragon/Steel; Armor-clad dragon raccoon with metallic scales and larger fangs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
97;#VALUE!;Spiritflame;Fire;Ghost;75;85;75;110;75;110;530;Flash Fire;;Cursed Body;Larger flame-like creature, ghostly features, more intense glow;Water, Ground, Rock, Ghost, Dark;Fire, Psychic, Bug;Final Stage;;;277;;"/imagine prompt:Spiritflame Regular Pokemon; Fire/Ghost; Larger flame-like creature, ghostly features, more intense glow; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
83;#VALUE!;Galeswimmer;Water;Flying;85;65;70;110;80;130;540;Drizzle;Summons rain when entering battle.;Swift Swim;A sleek, fast waterfowl-like Pokémon with powerful wings and pouches.;Electric, Rock;Water, Ground, Fire, Fighting;Final Stage;;;277;;"/imagine prompt:Galeswimmer Regular Pokemon; Water/Flying; A sleek, fast waterfowl-like Pokémon with powerful wings and pouches.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
7;#VALUE!;Cryosteel;Ice;Steel;80;100;120;75;95;70;540;Snow Cloak;;Ice Body;Icy metallic quadruped, crystal armor, sharp tail;Fire, Fighting, Ground;Ice, Dragon, Fairy, Rock, Steel;Single stage;;;277;;"/imagine prompt:Cryosteel Regular Pokemon; Ice/Steel; Icy metallic quadruped, crystal armor, sharp tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
104;#VALUE!;Mudhound;Ground;;100;110;100;60;70;85;525;Sand Force;;Stamina;Larger, brown dog with mud-like fur and a fierce stance;Water, Grass, Ice;Ground, Electric, Rock;Final Stage;;;274;;"/imagine prompt:Mudhound Regular Pokemon; Ground/; Larger, brown dog with mud-like fur and a fierce stance; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
117;#VALUE!;Crysteon ;Rock;Electric;95;70;80;115;85;85;530;Crystal Charge;Boosts Electric-type moves' power by 50% when hit by a Rock-type move;;Crysteon is a sleek, quadruped Pokémon with a feline-like build. Its body is covered in angular, crystal-like formations of varying sizes that resemble a mix of quartz and amethyst. The crystals emit a subtle, electric glow, which becomes more intense and dynamic during battle. Its eyes are bright yellow with jagged, lightning bolt-shaped pupils.;;;Single stage;;;273;;"/imagine prompt:Crysteon  Regular Pokemon; Rock/Electric; Crysteon is a sleek, quadruped Pokémon with a feline-like build. Its body is covered in angular, crystal-like formations of varying sizes that resemble a mix of quartz and amethyst. The crystals emit a subtle, electric glow, which becomes more intense and dynamic during battle. Its eyes are bright yellow with jagged, lightning bolt-shaped pupils.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
38;#VALUE!;Lumifin;Water;Fairy;85;70;80;110;95;90;530;Swift Swim;;Pixilate;Sleek, fish-like Pokémon with glowing, iridescent scales and fins;Electric, Grass, Poison;Water, Fire, Fighting, Dragon;Final Stage;;;273;;"/imagine prompt:Lumifin Regular Pokemon; Water/Fairy; Sleek, fish-like Pokémon with glowing, iridescent scales and fins; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
12;#VALUE!;Solarcher;Fire;Psychic;75;70;70;120;90;100;525;Flash Fire;;Solar Power;Fiery centaur, bow-shaped horns, psychic aura;Water, Ground, Rock, Ghost;Fire, Ice, Bug, Fighting, Poison;Final Stage;;;272;;"/imagine prompt:Solarcher Regular Pokemon; Fire/Psychic; Fiery centaur, bow-shaped horns, psychic aura; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
45;#VALUE!;Boltleap;Electric;Fighting;70;110;65;90;70;115;520;Motor Drive;When a Pokémon with this ability is hit by an Electric-type move, it doesn't take damage. Instead, its Speed stat increases by one stage. This ability effectively grants immunity to Electric-type moves and rewards the Pokémon with a Speed boost.;Reckless;Agile creature with electrically-charged fur and powerful limbs;Ground, Psychic, Flying, Fairy;Electric, Fighting, Water, Steel;Final Stage;;;270;;"/imagine prompt:Boltleap Regular Pokemon; Electric/Fighting; Agile creature with electrically-charged fur and powerful limbs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
123;#VALUE!;Ludicolo-Alteon;Grass;Ice;80;70;70;100;90;110;520;Frost Dance;Boosts Ice-type moves' power by 50% in hail;;Ludicolo-Alteon takes on a more wintry appearance, with its sombrero-like structure now resembling an icy, snow-covered evergreen tree. Its body is covered in frosty blue and white fur, with patterns resembling snowflakes. The lily pad around its neck has transformed into a ring of icicles, and its eyes now have a playful, frosty blue hue. Its arms and legs have become slightly more elongated, allowing it to move gracefully through snowy terrain.;;;Variant;;;266;;"/imagine prompt:Ludicolo-Alteon Regular Pokemon; Grass/Ice; Ludicolo-Alteon takes on a more wintry appearance, with its sombrero-like structure now resembling an icy, snow-covered evergreen tree. Its body is covered in frosty blue and white fur, with patterns resembling snowflakes. The lily pad around its neck has transformed into a ring of icicles, and its eyes now have a playful, frosty blue hue. Its arms and legs have become slightly more elongated, allowing it to move gracefully through snowy terrain.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
5;#VALUE!;Magmalance;Fire;Steel;75;110;70;80;70;110;515;Blaze;;Flash Fire;Armored horse, flaming mane, lance-like horn;Water, Ground, Fighting;Fire, Ice, Bug, Fairy, Psychic, Steel;Final Stage;;;265;;"/imagine prompt:Magmalance Regular Pokemon; Fire/Steel; Armored horse, flaming mane, lance-like horn; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
116;#VALUE!;Aquarose-Bloom;Water;Fairy;85;50;85;130;120;60;530;Flower Shield;Boosts Defense and Special Defense by 1 stage when HP is below 50%;;Aquarose Bloom has a similar overall appearance to Aquarose, but its petals are larger and more vibrant. The petals now form a full blooming flower around its body, with layers of pink and blue petals alternating. The dewdrop-shaped gem on its forehead is now larger and emits a brighter, more magical aura.;;;Variant;;;264;;"/imagine prompt:Aquarose-Bloom Regular Pokemon; Water/Fairy; Aquarose Bloom has a similar overall appearance to Aquarose, but its petals are larger and more vibrant. The petals now form a full blooming flower around its body, with layers of pink and blue petals alternating. The dewdrop-shaped gem on its forehead is now larger and emits a brighter, more magical aura.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";118
54;#VALUE!;Glimmerwing;Dragon;Fairy;80;90;70;100;85;95;520;Marvel Scale;Raises Defense if the Pokémon has a status;Serene Grace;A majestic dragon with shimmering wings;Steel, Poison, Fairy;Dark, Dragon;Final Stage;;;263;;"/imagine prompt:Glimmerwing Regular Pokemon; Dragon/Fairy; A majestic dragon with shimmering wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
81;#VALUE!;Fungogre;Poison;Grass;90;70;100;120;100;50;530;Effect Spore;May cause status conditions if hit by contact moves.;Poison Heal;A large, imposing mushroom-like creature with a menacing, toothy grin.;Fire, Psychic, Flying, Ice;Water, Electric, Fairy, Grass;Final Stage;;;260;;"/imagine prompt:Fungogre Regular Pokemon; Poison/Grass; A large, imposing mushroom-like creature with a menacing, toothy grin.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
122;Image;Skarmory-Alteon;Steel;Fire;65;80;100;70;140;70;525;Heat Armor;When hit by a Fire-type move, boosts Defense and Special Defense by 1 stage;;Skarmory-Alteon boasts a more streamlined, aerodynamic design, with its metallic feathers now being a mix of steel and red-hot molten metal. The edges of its wings appear razor-sharp and have a glowing, fiery aura. Its eyes are now bright orange, and its beak and talons have become more prominent, resembling heated metal.;;;Variant;;;259;https://cdn.discordapp.com/attachments/1083362848203354193/1092061590863491133/Chtibidi_Steel_Armored_Birdcombine_steel_and_red-hot_molten_met_1d5a0380-01f5-4d69-bdec-0fbe5f78b9aa.png;"/imagine prompt:Skarmory-Alteon Regular Pokemon; Steel/Fire; Skarmory-Alteon boasts a more streamlined, aerodynamic design, with its metallic feathers now being a mix of steel and red-hot molten metal. The edges of its wings appear razor-sharp and have a glowing, fiery aura. Its eyes are now bright orange, and its beak and talons have become more prominent, resembling heated metal.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
119;#VALUE!;Galeking-Alteon;Fighting;Flying;75;135;60;60;60;110;500;Aerial Guard;When hit by a Flying-type move, boosts Attack and Speed by 1 stage;;Galeking-Alteon is a muscular, bipedal Pokémon that retains the overall structure of its original counterpart. Its body is now primarily white with red and blue accents, resembling a luchador's outfit. Its fists are adorned with large, feathered wings that grant it the ability to glide short distances. A crest of feathers forms a mask-like pattern around its eyes.;;;Variant;;;258;;"/imagine prompt:Galeking-Alteon Regular Pokemon; Fighting/Flying; Galeking-Alteon is a muscular, bipedal Pokémon that retains the overall structure of its original counterpart. Its body is now primarily white with red and blue accents, resembling a luchador's outfit. Its fists are adorned with large, feathered wings that grant it the ability to glide short distances. A crest of feathers forms a mask-like pattern around its eyes.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
133;#VALUE!;Blitzstreak ;Normal;Electric;70;90;70;90;70;150;540;Overcharge ;Boosts Electric-type moves by 50% when at maximum Speed ;;Blitzstreak, a sleek, lightning-fast fox-like Pokémon with electrically charged fur. Its body is covered in bright, neon-yellow and blue markings that resemble lightning bolts.;;;Final Stage;;;258;;"/imagine prompt:Blitzstreak  Regular Pokemon; Normal/Electric; Blitzstreak, a sleek, lightning-fast fox-like Pokémon with electrically charged fur. Its body is covered in bright, neon-yellow and blue markings that resemble lightning bolts.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
13;#VALUE!;Lumileaf;Grass;Fairy;80;70;75;110;90;90;515;Chlorophyll;;Magic Guard;Green leafy body, luminescent spots, flower petals;Fire, Ice, Poison, Steel;Grass, Water, Ground, Dark;Single stage;;;257;;"/imagine prompt:Lumileaf Regular Pokemon; Grass/Fairy; Green leafy body, luminescent spots, flower petals; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
74;#VALUE!;Terrascorpio;Ground;Poison;85;120;90;70;85;70;520;Poison Point;May poison a target when it strikes with a move that makes contact;Sand Veil;A large, scorpion-like Pokémon with a venomous stinger and strong, ground-digging claws.;Water, Ice, Psychic, Ground;Electric, Rock, Poison, Bug;Single stage;;;257;;"/imagine prompt:Terrascorpio Regular Pokemon; Ground/Poison; A large, scorpion-like Pokémon with a venomous stinger and strong, ground-digging claws.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
70;#VALUE!;Pugilchimp;Fighting;;80;110;75;60;80;95;500;Iron Fist;Powers up punching moves by 20%;Guts;A muscular chimpanzee-like Pokémon with a red mohawk and boxing gloves.;Flying, Psychic, Fairy;Rock, Dark, Steel, Normal, Ice;Single stage;;;248;;"/imagine prompt:Pugilchimp Regular Pokemon; Fighting/; A muscular chimpanzee-like Pokémon with a red mohawk and boxing gloves.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
73;#VALUE!;Shadowraith;Dark;Ghost;65;90;50;110;60;125;500;Shadow Tag;Prevents the foe from escaping;Infiltrator;A wraith-like Pokémon with a shadowy body and red, piercing eyes that seem to glow.;Fairy, Ghost;Psychic, Dark, Ghost, Poison;Single stage;;;247;;"/imagine prompt:Shadowraith Regular Pokemon; Dark/Ghost; A wraith-like Pokémon with a shadowy body and red, piercing eyes that seem to glow.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
31;#VALUE!;Leaflinx;Grass;;80;85;75;80;70;110;500;Overgrow;;None;Sleek, green, feline-like, leafy mane;Fire, Ice, Poison, Flying, Bug;Grass;Foliaguar;36;;247;;"/imagine prompt:Leaflinx Regular Pokemon; Grass/; Sleek, green, feline-like, leafy mane; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
71;#VALUE!;Scuttlant;Bug;Ground;70;95;110;40;85;100;500;Sand Rush;Doubles Speed in a sandstorm;Swarm;A large, ant-like Pokémon with a hardened exoskeleton and powerful mandibles.;Fire, Flying, Water, Ice;Electric, Psychic, Rock, Poison;Single stage;;;246;;"/imagine prompt:Scuttlant Regular Pokemon; Bug/Ground; A large, ant-like Pokémon with a hardened exoskeleton and powerful mandibles.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
76;#VALUE!;Chamelebug;Bug;;75;100;65;100;65;95;500;Prismatic Camouflage;Takes on the additional resistances of its last-used move's type;Swarm;A chameleon-like Pokémon with insect-like features, capable of changing colors and adapting to its environment.;Fire, Flying, Rock;Bug, Grass, Psychic, Dark;Single stage;;;245;;"/imagine prompt:Chamelebug Regular Pokemon; Bug/; A chameleon-like Pokémon with insect-like features, capable of changing colors and adapting to its environment.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
115;#VALUE!;Aquarose ;Water;Fairy;85;60;75;110;100;70;500;Petal Soak;Transforms Normal-type moves into Water-type moves and boosts their power;;Aquarose is an elegant, medium-sized Pokémon that resembles a water lily. Its body is primarily light blue with a graceful, swan-like neck and head. Petal-like structures surround its body, with the outer petals being a vibrant pink and the inner petals a soft blue. A dewdrop-shaped gem adorns its forehead, glowing with a faint, watery aura.;;;;;;244;;"/imagine prompt:Aquarose  Regular Pokemon; Water/Fairy; Aquarose is an elegant, medium-sized Pokémon that resembles a water lily. Its body is primarily light blue with a graceful, swan-like neck and head. Petal-like structures surround its body, with the outer petals being a vibrant pink and the inner petals a soft blue. A dewdrop-shaped gem adorns its forehead, glowing with a faint, watery aura.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";116
102;#VALUE!;Crystaleye;Ice;Psychic;70;70;80;110;90;80;500;Snow Warning;;Refractive Armor;Refractive Armor: Raises the Pokémon's Special Defense by one stage when hit by a special move.;Fire, Steel, Rock, Bug, Ghost, Dark;Ice, Psychic, Flying, Grass;Single stage;;;237;;"/imagine prompt:Crystaleye Regular Pokemon; Ice/Psychic; Refractive Armor: Raises the Pokémon's Special Defense by one stage when hit by a special move.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
86;Image;Electrowl;Electric;Flying;65;70;60;105;80;110;490;Static;;Air Lock;Owl-like Pokémon with electric plumage and sharp talons;Electric, Ice, Rock;Electric, Flying, Water, Bug;Plasmawing;30;;237;https://cdn.discordapp.com/attachments/1083362848203354193/1090978757210284163/Chtibidi_Plasmawing_Regular_Pokemon_ElectricFlying_Plasmawing_i_8aa83f49-574a-43ec-acaa-a727e8ad61e8.png;"/imagine prompt:Electrowl Regular Pokemon; Electric/Flying; Owl-like Pokémon with electric plumage and sharp talons; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
135;#VALUE!;Crumboulder ;Rock;Ground;100;80;120;40;80;40;460;Solid Rock ;Reduces super-effective move damage by 25% ;;Crumboulder, a much larger, boulder-like Pokémon with a rugged, craggy exterior. It has powerful arms and legs and a stern, focused facial expression.;;;Peakolith/Tremorock;50;High friendship (daytime/nighttime);237;;"/imagine prompt:Crumboulder  Regular Pokemon; Rock/Ground; Crumboulder, a much larger, boulder-like Pokémon with a rugged, craggy exterior. It has powerful arms and legs and a stern, focused facial expression.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
89;#VALUE!;Tidalfin;Water;;70;60;85;100;85;90;490;Swift Swim;;Hydration;Shark-like Pokémon with vibrant blue fins and a sleek body;Electric, Grass;Water, Fire, Ground, Rock;Final Stage;;;233;;"/imagine prompt:Tidalfin Regular Pokemon; Water/; Shark-like Pokémon with vibrant blue fins and a sleek body; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
